"assetid","name","description","alertid","createdtimeutc"
3160974,ACC - Rain -Kumeu @ Maddrens,Max TP108 ARI,23690,2025-05-09 05:05:00.575
3160986,ACC - Rain -Birkdale (Inwards Res.) NSCC03,Max TP108 ARI,23701,2025-05-09 05:27:37.325
3160995,ACC - Rain -Albert Park Acc rainfall,Max TP108 ARI,23711,2025-05-09 05:36:38.345
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,2025-05-09 05:39:11.611
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,2025-05-09 05:48:03.951
21526520,ACC - Rain - Clarks Beach @ Golf Course,Max TP108 ARI,23775,2025-06-26 21:50:05.745
11271878,ACC - Rain - Mangemangeroa @ Reserve,Max TP108 ARI,23630,2025-06-26 22:01:10.783
3160971,ACC - Rain -Longford Park Rainfall,Max TP108 ARI,23687,2025-06-26 22:02:29.519
3160935,ACC - Rain -Waiatarua Rainfall,Max TP108 ARI,23657,2025-06-04 09:05:13.262
3160971,ACC - Rain -Longford Park Rainfall,Max TP108 ARI,23687,2025-06-04 09:05:20.607
7828287,ACC - Rain - Drury @ Turner Road,Max TP108 ARI,23637,2025-06-04 09:19:37.712
3160963,ACC - Rain -Okahu Bay Bowling Club Rainfall,Max TP108 ARI,23679,2025-06-04 09:43:20.506
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,2025-06-04 09:54:17.162
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,2025-07-04 08:50:40.407
3160972,ACC - Rain -Leigh Rainfall,Max TP108 ARI,23688,2025-08-07 19:50:07.839
3160984,ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Max TP108 ARI,23699,2025-08-25 21:41:46.107
3160984,ACC - Rain -Constable Ln Waitakere City Council Pump Stn,Max TP108 ARI,23699,2025-09-02 23:34:35.016
3160942,ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Max TP108 ARI,23664,2025-11-09 02:36:53.114
3160954,ACC - Rain -Reservoir Bush Road,Max TP108 ARI,23650,2025-11-30 02:43:02.104
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,Max TP108 ARI,23642,2025-11-30 02:53:05.816
3160961,ACC - Rain -Oratia Cemetery Oratia,Max TP108 ARI,23677,2025-11-30 03:12:17.444
11271880,ACC - Rain - Karaka @ Walters Road,Max TP108 ARI,23632,2025-11-30 03:13:25.527
3160975,ACC - Rain -Keeling Road @ Utilitech Training Centre,Max TP108 ARI,23691,2025-11-30 03:18:59.717
3160982,ACC - Rain -Cutler Park New Lynn,Max TP108 ARI,23697,2025-11-30 03:22:18.959
3160966,ACC - Rain -Mt Albert Grammer rainfall,Max TP108 ARI,23682,2025-11-30 03:34:39.500
11271879,ACC - Rain - Puhinui @ Botanical Gardens,Max TP108 ARI,23631,2025-11-30 03:38:00.276
3160994,ACC - Rain -Alexandra Park Rway rainfall,Max TP108 ARI,23710,2025-11-30 03:39:11.617
7828287,ACC - Rain - Drury @ Turner Road,Max TP108 ARI,23637,2025-11-30 03:41:32.141
3160947,ACC - Rain -Te Muri Rainfall,Max TP108 ARI,23668,2025-12-03 00:32:42.069
3160982,ACC - Rain -Cutler Park New Lynn,Max TP108 ARI,23697,2025-12-03 01:06:41.856
3160938,ACC - Rain -Whangamaire @ Culvert,Max TP108 ARI,23660,2025-12-03 01:28:24.820
3160990,ACC - Rain -Awanohi Rainfall @ Okura,Max TP108 ARI,23706,2025-12-03 03:01:31.997
3160945,ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Max TP108 ARI,23772,2025-12-03 03:23:02.272
3161018,ACC - Rain -Orewa @ Treatment Ponds,Max TP108 ARI,23734,2025-12-03 03:29:47.052
3160996,ACC - Rain -Albany @ Hts Rd NSCC06,Max TP108 ARI,23712,2025-12-03 03:45:35.072
11315277,ACC - Rain - Takapuna Rain @ Library,Max TP108 ARI,23627,2025-12-03 04:05:03.389
3160987,ACC - Rain -Bayswater @ Plymouth Res. NSCC01,Max TP108 ARI,23702,2025-12-03 04:04:57.221
7828280,ACC - Rain - Churchill Park Rainfall,Max TP108 ARI,23644,2025-12-03 04:19:46.884
