pixelindex,2h_b,2h_m,6h_b,6h_m,10m_b,10m_m,12h_b,12h_m,20m_b,20m_m,24h_b,24h_m,30m_b,30m_m,60m_b,60m_m
120539,-1.50622,0.063969,-1.50622,0.041651,-1.50622,0.232578,-1.50622,0.032126,-1.50622,0.151316,-1.50622,0.026165,-1.50622,0.12233,-1.50622,0.086416
120540,-1.50616,0.063883,-1.50616,0.041595,-1.50616,0.232264,-1.50616,0.032083,-1.50616,0.151112,-1.50616,0.02613,-1.50616,0.122165,-1.50616,0.0863
120541,-1.50609,0.063797,-1.50609,0.041539,-1.50609,0.231952,-1.50609,0.03204,-1.50609,0.150908,-1.50609,0.026095,-1.50609,0.122,-1.50609,0.086184
120542,-1.51114,0.063784,-1.51114,0.041531,-1.51114,0.231907,-1.51114,0.032033,-1.51114,0.150879,-1.51114,0.02609,-1.51114,0.121977,-1.51114,0.086167
120543,-1.52762,0.063935,-1.52762,0.041629,-1.52762,0.232454,-1.52762,0.032109,-1.52762,0.151235,-1.52762,0.026151,-1.52762,0.122265,-1.52762,0.08637
120544,-1.52741,0.063848,-1.52741,0.041573,-1.52741,0.232139,-1.52741,0.032066,-1.52741,0.15103,-1.52741,0.026116,-1.52741,0.122099,-1.52741,0.086254
120545,-1.52716,0.063761,-1.52716,0.041516,-1.52716,0.231824,-1.52716,0.032022,-1.52716,0.150825,-1.52716,0.02608,-1.52716,0.121933,-1.52716,0.086136
120546,-1.52668,0.063676,-1.52668,0.041461,-1.52668,0.231515,-1.52668,0.031979,-1.52668,0.150624,-1.52668,0.026045,-1.52668,0.121771,-1.52668,0.086022
120547,-1.52728,0.063617,-1.52728,0.041422,-1.52728,0.231297,-1.52728,0.031949,-1.52728,0.150483,-1.52728,0.026021,-1.52728,0.121656,-1.52728,0.085941
120548,-1.52845,0.063569,-1.52845,0.041391,-1.52845,0.231126,-1.52845,0.031926,-1.52845,0.150371,-1.52845,0.026002,-1.52845,0.121566,-1.52845,0.085877
120549,-1.52957,0.063521,-1.52957,0.04136,-1.52957,0.230951,-1.52957,0.031902,-1.52957,0.150257,-1.52957,0.025982,-1.52957,0.121474,-1.52957,0.085812
120550,-1.53163,0.063482,-1.53163,0.041334,-1.53163,0.230808,-1.53163,0.031882,-1.53163,0.150164,-1.53163,0.025966,-1.53163,0.121399,-1.53163,0.085759
120551,-1.69259,0.066623,-1.69259,0.043379,-1.69259,0.242227,-1.69259,0.033459,-1.69259,0.157593,-1.69259,0.02725,-1.69259,0.127405,-1.69259,0.090002
