gauge_id,gauge_name,last_data,trace_id,trace_name,alarm_id,alarm_name,alarm_type,threshold,severity,is_critical,source
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1482847,Rainfall 7 days window sum,23262.0,648825_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1482847,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1480751,10mm Drought Alarm,22560.0,648825_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1480751,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36322,Rainfall 30 min window sum,22863.0,648825_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36322,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36326,Rainfall 12 hr window sum,22701.0,648825_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36326,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36325,Rainfall 6 hr window sum,22648.0,648825_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36325,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1482414,Rainfall 60 min window sum - Mirror,23228.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,1482414,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36327,Rainfall 24 hr window sum,22901.0,648825_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36327,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36323,Rainfall 60 min window sum,22771.0,648825_threshold_alarm,Overflow,25.0,Medium,False,threshold_config
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,36323,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3160935,ACC - Rain -Waiatarua Rainfall,2025-12-12,30846,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
