Gauge,Trace,Alarm Name,Type,Threshold
ACC - Rain -Waiatarua Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Waiatarua Rainfall,Rainfall 7 days window sum,648825_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Waiatarua Rainfall,10mm Drought Alarm,648825_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Waiatarua Rainfall,Rainfall 30 min window sum,648825_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Waiatarua Rainfall,Rainfall 6 hr window sum,648825_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Waiatarua Rainfall,Rainfall 12 hr window sum,648825_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Waiatarua Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waiatarua Rainfall,Rainfall 24 hr window sum,648825_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Waiatarua Rainfall,Rainfall 60 min window sum,648825_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Waiatarua Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Waiatarua Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Whenuapai @ Airbase,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Whenuapai @ Airbase,Rainfall 7 days window sum,647601_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Whenuapai @ Airbase,10mm Drought Alarm,647601_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Whenuapai @ Airbase,Rainfall 6 hr window sum,647601_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 24 hr window sum,647601_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 60 min window sum,647601_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 30 min window sum,647601_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 12 hr window sum,647601_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Whenuapai @ Airbase,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,10mm Drought Alarm,649713_10mm Drought Alarm,Overflow/Max,0.99
