Gauge,Trace,Alarm Name,Type,Threshold,threshold_num,row_category
ACC - Rain - Churchill Park Rainfall,10mm Drought Alarm,648816_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73,9.73,Data freshness (recency)
ACC - Rain - Churchill Park Rainfall,Rainfall 12 hr window sum,648816_threshold_alarm,Overflow/Max,70.0,70.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 24 hr window sum,648816_threshold_alarm,Overflow/Max,100.0,100.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 30 min window sum,648816_threshold_alarm_15mm,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49,2.49,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 6 hr window sum,648816_threshold_alarm,Overflow/Max,50.0,50.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 60 min window sum,648816_threshold_alarm,Overflow/Max,25.0,25.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0,15.0,Threshold alarm (overflow)
ACC - Rain - Churchill Park Rainfall,Rainfall 7 days window sum,648816_threshold_alarm,Overflow/Max,180.0,180.0,Threshold alarm (overflow)
ACC - Rain - Clarks Beach @ Golf Course,10mm Drought Alarm,741712_10mm Drought Alarm,Overflow/Max,0.99,0.99,Threshold alarm (overflow)
ACC - Rain - Clarks Beach @ Golf Course,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0,5.0,Threshold alarm (overflow)
