max_ari,pixels_total,pixels_exceeding,proportion_exceeding,peak_pixel_index,peak_timestamp,peak_duration,peak_depth_mm,catchment_id,catchment_name
89.62,829,403,0.4861,168633.0,2025-05-09 04:38:00+00:00,10m,17.16,3880854,WEST_COAST
60.07,370,197,0.5324,169659.0,2025-05-09 04:39:00+00:00,10m,16.45,3880853,WEST_KAIPARA_HARBOUR
36.26,350,152,0.4343,160435.0,2025-05-09 04:45:00+00:00,10m,15.33,3880863,WAIONUI
28.43,403,141,0.3499,186058.0,2025-05-09 04:45:00+00:00,10m,15.47,3880929,KAIPARA_WEST
16.7,177,7,0.0395,186570.0,2025-05-09 04:45:00+00:00,10m,14.27,3880913,OKIRITOTO
10.79,272,18,0.0662,211235.0,2025-05-09 05:53:00+00:00,10m,15.98,3880749,PAPAKURA_STREAM
10.62,166,16,0.0964,211234.0,2025-05-09 05:53:00+00:00,10m,15.85,3880744,PUHINUI_CREEK
9.91,179,20,0.1117,210209.0,2025-05-09 05:53:00+00:00,10m,15.62,3880802,OTARA_CREEK_FLAT_BUSH
8.35,30,1,0.0333,174795.0,2025-05-09 05:10:00+00:00,10m,12.54,3880930,HELENSVILLE
6.9,86,6,0.0698,220949.0,2025-05-09 05:30:00+00:00,10m,11.53,3880819,ELLETTS_BEACH
6.9,246,8,0.0325,220949.0,2025-05-09 05:30:00+00:00,10m,11.53,3880766,WHANGAMAIRE_STREAM
5.43,53,1,0.0189,191750.0,2025-05-09 05:41:00+00:00,10m,12.17,3880872,CBD
4.92,13,0,0.0,187653.0,2025-05-09 05:41:00+00:00,10m,12.78,3880961,ONEPOTO
4.92,34,0,0.0,187653.0,2025-05-09 05:41:00+00:00,10m,12.78,3880750,HILLCREST
4.22,10,0,0.0,187142.0,2025-05-09 05:41:00+00:00,10m,12.19,3880956,SHOAL_BAY
4.2,9,0,0.0,187655.0,2025-05-09 05:41:00+00:00,10m,12.1,3880751,HAURAKI
4.19,9,0,0.0,188169.0,2025-05-09 05:41:00+00:00,10m,11.92,3880963,NORTHBORO
4.19,18,0,0.0,188169.0,2025-05-09 05:41:00+00:00,10m,11.92,3880760,BELMONT
4.16,22,0,0.0,184053.0,2025-05-09 05:26:00+00:00,10m,12.08,3880752,GREENHITHE
4.15,63,0,0.0,206104.0,2025-05-09 05:48:00+00:00,10m,12.21,3880748,PAPATOETOE-TAMAKI_RIVER
4.06,54,0,0.0,182517.0,2025-05-09 05:26:00+00:00,10m,11.91,3880763,ATTWOOD
3.98,28,0,0.0,190212.0,2025-05-09 05:41:00+00:00,10m,11.56,3880950,WAIURUTOA
3.93,15,0,0.0,190215.0,2025-05-09 05:41:00+00:00,10m,11.38,3880758,CASSINO
3.85,53,0,0.0,183028.0,2025-05-09 05:26:00+00:00,10m,11.73,3880958,PAREMOREMO_1
3.72,16,0,0.0,183030.0,2025-05-09 05:27:00+00:00,10m,11.66,3880960,ORWELL
3.37,22,0,0.0,187144.0,2025-05-09 05:41:00+00:00,10m,11.3,3880953,TAKAPUNA_BEACH
3.35,13,0,0.0,190728.0,2025-05-09 05:42:00+00:00,10m,10.68,3880949,WATERVIEW
3.3,15,0,0.0,190723.0,2025-05-09 05:41:00+00:00,10m,10.85,3880877,LITTLE_SHOAL_BAY
3.29,78,0,0.0,186628.0,2025-05-09 05:41:00+00:00,10m,11.3,3880952,WAIRAU_VALLEY
3.17,16,0,0.0,191241.0,2025-05-09 05:42:00+00:00,10m,10.35,3880755,DEVONPORT
3.16,275,0,0.0,223527.0,2025-05-09 05:53:00+00:00,10m,8.19,3880812,HINGAIA_STREAM
3.13,158,0,0.0,180979.0,2025-05-09 05:26:00+00:00,10m,10.86,3880894,RANGITOPUNI
3.0,21,0,0.0,183031.0,2025-05-09 05:27:00+00:00,10m,10.93,3880971,KYLE
2.94,211,0,0.0,224039.0,2025-05-09 05:53:00+00:00,10m,7.82,3880789,NGAKOROA_STREAM
2.89,14,0,0.0,185079.0,2025-05-09 05:28:00+00:00,10m,10.83,3880946,UPPER_HARBOUR
2.87,13,0,0.0,189195.0,2025-05-09 05:43:00+00:00,10m,10.28,3880951,WAIROA
2.86,58,0,0.0,179445.0,2025-05-09 05:53:00+00:00,30m,20.11,3880936,COATESVILLE
2.84,226,0,0.0,222502.0,2025-05-09 05:53:00+00:00,10m,8.05,3880782,SLIPPERY_CREEK
2.8,128,0,0.0,221988.0,2025-05-09 05:52:00+00:00,10m,8.18,3880788,OIRA_CREEK
2.68,39,0,0.0,220453.0,2025-05-09 05:52:00+00:00,10m,8.52,3880813,HINGAIA_SOUTH
2.6,6,0,0.0,184564.0,2025-05-09 05:26:00+00:00,10m,10.39,3880844,HERALD_ISLAND
2.58,24,0,0.0,182519.0,2025-05-09 05:26:00+00:00,10m,10.36,3880764,ALBANY_WEST
2.55,96,0,0.0,219429.0,2025-05-09 05:51:00+00:00,10m,8.64,3880800,PAHUREHURE_INLET
2.49,21,0,0.0,179447.0,2025-05-09 05:53:00+00:00,30m,19.35,3880948,WAYSIDE
2.48,11,0,0.0,185592.0,2025-05-09 05:28:00+00:00,10m,10.27,3880947,TRAMWAY
2.47,75,0,0.0,180988.0,2025-05-09 05:30:00+00:00,10m,10.25,3880959,OTEHA_VALLEY
2.43,15,0,0.0,186117.0,2025-05-09 05:41:00+00:00,10m,10.09,3880970,LAKE_PUPUKE
2.38,38,0,0.0,191235.0,2025-05-09 05:41:00+00:00,10m,9.62,3880816,GREY_LYNN
2.38,473,0,0.0,175821.0,2025-05-09 05:12:00+00:00,10m,9.2,3880938,CENTRAL_KAIPARA
2.33,245,0,0.0,173298.0,2025-05-09 05:53:00+00:00,30m,18.71,3880935,DAIRY_FLAT
2.24,178,0,0.0,139437.0,2025-05-09 05:15:00+00:00,10m,9.65,3880864,WAIKIRI
2.19,313,0,0.0,192717.0,2025-05-09 04:45:00+00:00,10m,10.18,3880834,WAITAKERE
2.13,273,0,0.0,225048.0,2025-05-09 05:30:00+00:00,10m,7.08,3880765,WHANGAPOURI_CREEK
2.06,19,0,0.0,185594.0,2025-05-09 05:29:00+00:00,10m,9.56,3880974,KAHIKA
2.04,55,0,0.0,192777.0,2025-05-09 05:42:00+00:00,10m,8.65,3880870,EPSOM_NEWMARKET
2.04,22,0,0.0,189697.0,2025-05-09 05:41:00+00:00,10m,9.36,3880754,DUCK_CREEK_1
2.0,39,0,0.0,178938.0,2025-05-09 05:53:00+00:00,30m,17.94,3880967,LUCAS_CREEK
1.96,30,0,0.0,186107.0,2025-05-09 05:30:00+00:00,10m,9.33,3880753,ESKDALE
1.91,17,0,0.0,186104.0,2025-05-09 05:28:00+00:00,10m,9.29,3880957,RANGATIRA
1.88,102,0,0.0,177397.0,2025-05-09 05:53:00+00:00,30m,17.37,3880911,OKURA_NORTH
1.8,132,0,0.0,197367.0,2025-05-09 05:26:00+00:00,10m,8.97,3880825,WHAU
1.8,33,0,0.0,197367.0,2025-05-09 05:26:00+00:00,10m,8.97,3880830,WATER_VIEW
1.79,19,0,0.0,185087.0,2025-05-09 05:40:00+00:00,10m,8.94,3880973,KAIPATIKI
1.78,9,0,0.0,185082.0,2025-05-09 05:29:00+00:00,10m,9.0,3880761,BAYVIEW
