pixel_index,timestamp,duration,depth_mm,ari_years,catchment_id,catchment_name
191750,2025-05-09 05:41:00+00:00,10m,12.17,5.43,3880872,CBD
219923,2025-05-09 05:29:00+00:00,10m,10.77,5.14,3880819,ELLETTS_BEACH
219923,2025-05-09 05:30:00+00:00,10m,11.13,5.72,3880819,ELLETTS_BEACH
219924,2025-05-09 05:30:00+00:00,10m,10.8,5.23,3880819,ELLETTS_BEACH
220437,2025-05-09 05:30:00+00:00,10m,10.82,5.43,3880819,ELLETTS_BEACH
220948,2025-05-09 05:30:00+00:00,10m,10.62,5.2,3880819,ELLETTS_BEACH
220949,2025-05-09 05:30:00+00:00,10m,11.53,6.9,3880819,ELLETTS_BEACH
220436,2025-05-09 05:30:00+00:00,10m,11.32,6.26,3880819,ELLETTS_BEACH
219923,2025-05-09 05:39:00+00:00,10m,11.08,5.63,3880819,ELLETTS_BEACH
219924,2025-05-09 05:39:00+00:00,10m,10.72,5.1,3880819,ELLETTS_BEACH
220437,2025-05-09 05:39:00+00:00,10m,10.66,5.18,3880819,ELLETTS_BEACH
220949,2025-05-09 05:39:00+00:00,10m,11.32,6.48,3880819,ELLETTS_BEACH
220436,2025-05-09 05:39:00+00:00,10m,11.22,6.07,3880819,ELLETTS_BEACH
219923,2025-05-09 05:40:00+00:00,10m,11.09,5.65,3880819,ELLETTS_BEACH
219924,2025-05-09 05:40:00+00:00,10m,10.71,5.09,3880819,ELLETTS_BEACH
220437,2025-05-09 05:40:00+00:00,10m,10.6,5.09,3880819,ELLETTS_BEACH
220949,2025-05-09 05:40:00+00:00,10m,11.22,6.29,3880819,ELLETTS_BEACH
220436,2025-05-09 05:40:00+00:00,10m,11.18,6.0,3880819,ELLETTS_BEACH
219923,2025-05-09 05:41:00+00:00,10m,11.11,5.68,3880819,ELLETTS_BEACH
219924,2025-05-09 05:41:00+00:00,10m,10.74,5.13,3880819,ELLETTS_BEACH
220437,2025-05-09 05:41:00+00:00,10m,10.59,5.07,3880819,ELLETTS_BEACH
220949,2025-05-09 05:41:00+00:00,10m,11.2,6.25,3880819,ELLETTS_BEACH
220436,2025-05-09 05:41:00+00:00,10m,11.18,6.0,3880819,ELLETTS_BEACH
174795,2025-05-09 04:45:00+00:00,10m,11.86,6.53,3880930,HELENSVILLE
174795,2025-05-09 05:09:00+00:00,10m,12.12,7.17,3880930,HELENSVILLE
174795,2025-05-09 05:10:00+00:00,10m,12.54,8.35,3880930,HELENSVILLE
