catchment_id,catchment_name,pixel_count,has_data,total_rainfall,avg_rainfall_per_pixel,max_intensity,pixels_with_rain,rain_coverage_pct
3880742,PUKEKOHE-TUTAENUI_STREAM,140,True,1393.52,9.954,0.8,140,100.0
3880743,PUKAKI_WAOKAURI,110,True,1508.0,13.709,1.73,110,100.0
3880744,PUHINUI_CREEK,166,True,2670.28,16.086,2.32,166,100.0
3880745,TAMAKI_NORTH,72,True,860.69,11.954,1.25,72,100.0
3880746,PT_CHEVALIER,13,True,135.97,10.459,1.47,13,100.0
3880747,POURAUREROA_STREAM,135,True,671.58,4.975,0.29,135,100.0
3880748,PAPATOETOE-TAMAKI_RIVER,63,True,771.14,12.24,2.24,63,100.0
3880749,PAPAKURA_STREAM,272,True,3250.45,11.95,2.24,272,100.0
3880750,HILLCREST,34,True,626.23,18.419,2.43,34,100.0
3880751,HAURAKI,9,True,185.03,20.559,2.09,9,100.0
3880752,GREENHITHE,22,True,412.4,18.745,1.97,22,100.0
3880753,ESKDALE,30,True,407.83,13.594,1.92,30,100.0
3880754,DUCK_CREEK_1,22,True,317.6,14.436,2.07,22,100.0
3880755,DEVONPORT,16,True,272.34,17.021,2.07,16,100.0
3880756,DEEP_CREEK,25,True,345.1,13.804,1.18,25,100.0
3880757,CASTOR_BAY,8,True,113.88,14.235,1.29,8,100.0
3880758,CASSINO,15,True,292.04,19.469,2.65,15,100.0
3880759,CAMPBELLS_BAY,17,True,254.59,14.976,2.04,17,100.0
3880760,BELMONT,18,True,364.01,20.223,2.35,18,100.0
3880761,BAYVIEW,9,True,150.96,16.773,1.78,9,100.0
3880762,AWARUKU,25,True,345.25,13.81,1.19,25,100.0
3880763,ATTWOOD,54,True,939.53,17.399,2.27,54,100.0
3880764,ALBANY_WEST,24,True,473.47,19.728,2.12,24,100.0
3880765,WHANGAPOURI_CREEK,273,True,3260.27,11.942,2.14,273,100.0
3880766,WHANGAMAIRE_STREAM,246,True,3518.87,14.304,2.37,246,100.0
3880767,OAKLEY,80,True,749.32,9.366,1.43,80,100.0
3880768,WAIUKU_TOWN-AWAROA_RIVER,73,True,1235.42,16.924,0.47,73,100.0
3880769,WAIUKU_TOWN,80,True,1322.96,16.537,0.6,80,100.0
3880770,WAIUKU_RIVER,343,True,5624.0,16.397,1.8,343,100.0
3880771,WAITANGI_STREAM,172,True,3363.6,19.556,1.39,172,100.0
3880772,WAIROA_RIVER,460,True,2722.61,5.919,1.0,460,100.0
3880773,WAIMAHIA_CREEK,72,True,1071.51,14.882,1.76,72,100.0
3880774,WAIKOPUA_CREEK,94,True,496.76,5.285,0.3,94,100.0
3880775,WAIHEKE,14,True,46.96,3.354,0.22,14,100.0
3880776,WWTP,52,True,704.65,13.551,1.71,52,100.0
3880777,TURANGA_CREEK,156,True,1031.85,6.614,0.38,156,100.0
3880778,TE_HIHI_CREEK,96,True,1157.48,12.057,1.76,96,100.0
3880779,TAITAIA_STREAM,220,True,1607.52,7.307,1.33,220,100.0
3880780,TAIHIKI_RIVER,213,True,3855.08,18.099,1.16,213,100.0
