pixel_index,value_index,timestamp,value
185142,0,2025-05-09T00:00:00+00:00,0.0
185142,1,2025-05-09T00:01:00+00:00,0.0
185142,2,2025-05-09T00:02:00+00:00,0.0
185142,3,2025-05-09T00:03:00+00:00,0.0
185142,4,2025-05-09T00:04:00+00:00,0.0
185142,5,2025-05-09T00:05:00+00:00,0.0
185142,6,2025-05-09T00:06:00+00:00,0.0
185142,7,2025-05-09T00:07:00+00:00,0.0
185142,8,2025-05-09T00:08:00+00:00,0.0
185142,9,2025-05-09T00:09:00+00:00,0.0
185142,10,2025-05-09T00:10:00+00:00,0.0
185142,11,2025-05-09T00:11:00+00:00,0.0
185142,12,2025-05-09T00:12:00+00:00,0.0
185142,13,2025-05-09T00:13:00+00:00,0.0
185142,14,2025-05-09T00:14:00+00:00,0.0
185142,15,2025-05-09T00:15:00+00:00,0.0
185142,16,2025-05-09T00:16:00+00:00,0.0
185142,17,2025-05-09T00:17:00+00:00,0.02
185142,18,2025-05-09T00:18:00+00:00,0.04
185142,19,2025-05-09T00:19:00+00:00,0.049999997
185142,20,2025-05-09T00:20:00+00:00,0.07
185142,21,2025-05-09T00:21:00+00:00,0.08
185142,22,2025-05-09T00:22:00+00:00,0.06
185142,23,2025-05-09T00:23:00+00:00,0.03
185142,24,2025-05-09T00:24:00+00:00,0.049999997
185142,25,2025-05-09T00:25:00+00:00,0.03
185142,26,2025-05-09T00:26:00+00:00,0.02
185142,27,2025-05-09T00:27:00+00:00,0.03
185142,28,2025-05-09T00:28:00+00:00,0.02
185142,29,2025-05-09T00:29:00+00:00,0.01
185142,30,2025-05-09T00:30:00+00:00,0.0
185142,31,2025-05-09T00:31:00+00:00,0.01
185142,32,2025-05-09T00:32:00+00:00,0.01
185142,33,2025-05-09T00:33:00+00:00,0.02
185142,34,2025-05-09T00:34:00+00:00,0.02
185142,35,2025-05-09T00:35:00+00:00,0.03
185142,36,2025-05-09T00:36:00+00:00,0.06
185142,37,2025-05-09T00:37:00+00:00,0.089999996
185142,38,2025-05-09T00:38:00+00:00,0.07
185142,39,2025-05-09T00:39:00+00:00,0.049999997
185142,40,2025-05-09T00:40:00+00:00,0.02
185142,41,2025-05-09T00:41:00+00:00,0.02
185142,42,2025-05-09T00:42:00+00:00,0.02
185142,43,2025-05-09T00:43:00+00:00,0.02
185142,44,2025-05-09T00:44:00+00:00,0.02
185142,45,2025-05-09T00:45:00+00:00,0.02
185142,46,2025-05-09T00:46:00+00:00,0.01
185142,47,2025-05-09T00:47:00+00:00,0.01
185142,48,2025-05-09T00:48:00+00:00,0.01
185142,49,2025-05-09T00:49:00+00:00,0.01
185142,50,2025-05-09T00:50:00+00:00,0.01
185142,51,2025-05-09T00:51:00+00:00,0.01
185142,52,2025-05-09T00:52:00+00:00,0.01
185142,53,2025-05-09T00:53:00+00:00,0.01
185142,54,2025-05-09T00:54:00+00:00,0.01
185142,55,2025-05-09T00:55:00+00:00,0.02
185142,56,2025-05-09T00:56:00+00:00,0.01
185142,57,2025-05-09T00:57:00+00:00,0.0
185142,58,2025-05-09T00:58:00+00:00,0.0
185142,59,2025-05-09T00:59:00+00:00,0.0
185142,60,2025-05-09T01:00:00+00:00,0.01
185142,61,2025-05-09T01:01:00+00:00,0.01
185142,62,2025-05-09T01:02:00+00:00,0.01
185142,63,2025-05-09T01:03:00+00:00,0.02
185142,64,2025-05-09T01:04:00+00:00,0.03
185142,65,2025-05-09T01:05:00+00:00,0.01
185142,66,2025-05-09T01:06:00+00:00,0.01
185142,67,2025-05-09T01:07:00+00:00,0.0
185142,68,2025-05-09T01:08:00+00:00,0.01
185142,69,2025-05-09T01:09:00+00:00,0.03
185142,70,2025-05-09T01:10:00+00:00,0.04
185142,71,2025-05-09T01:11:00+00:00,0.02
185142,72,2025-05-09T01:12:00+00:00,0.0
185142,73,2025-05-09T01:13:00+00:00,0.0
185142,74,2025-05-09T01:14:00+00:00,0.0
185142,75,2025-05-09T01:15:00+00:00,0.0
185142,76,2025-05-09T01:16:00+00:00,0.0
185142,77,2025-05-09T01:17:00+00:00,0.0
185142,78,2025-05-09T01:18:00+00:00,0.01
185142,79,2025-05-09T01:19:00+00:00,0.01
185142,80,2025-05-09T01:20:00+00:00,0.01
185142,81,2025-05-09T01:21:00+00:00,0.0
185142,82,2025-05-09T01:22:00+00:00,0.0
185142,83,2025-05-09T01:23:00+00:00,0.0
185142,84,2025-05-09T01:24:00+00:00,0.0
185142,85,2025-05-09T01:25:00+00:00,0.0
185142,86,2025-05-09T01:26:00+00:00,0.0
185142,87,2025-05-09T01:27:00+00:00,0.0
185142,88,2025-05-09T01:28:00+00:00,0.0
185142,89,2025-05-09T01:29:00+00:00,0.0
185142,90,2025-05-09T01:30:00+00:00,0.0
185142,91,2025-05-09T01:31:00+00:00,0.0
185142,92,2025-05-09T01:32:00+00:00,0.0
185142,93,2025-05-09T01:33:00+00:00,0.0
185142,94,2025-05-09T01:34:00+00:00,0.01
185142,95,2025-05-09T01:35:00+00:00,0.01
185142,96,2025-05-09T01:36:00+00:00,0.0
185142,97,2025-05-09T01:37:00+00:00,0.0
185142,98,2025-05-09T01:38:00+00:00,0.0
185142,99,2025-05-09T01:39:00+00:00,0.0
185142,100,2025-05-09T01:40:00+00:00,0.0
185142,101,2025-05-09T01:41:00+00:00,0.0
185142,102,2025-05-09T01:42:00+00:00,0.0
185142,103,2025-05-09T01:43:00+00:00,0.0
185142,104,2025-05-09T01:44:00+00:00,0.0
185142,105,2025-05-09T01:45:00+00:00,0.0
185142,106,2025-05-09T01:46:00+00:00,0.0
185142,107,2025-05-09T01:47:00+00:00,0.0
185142,108,2025-05-09T01:48:00+00:00,0.01
185142,109,2025-05-09T01:49:00+00:00,0.01
185142,110,2025-05-09T01:50:00+00:00,0.0
185142,111,2025-05-09T01:51:00+00:00,0.0
185142,112,2025-05-09T01:52:00+00:00,0.0
185142,113,2025-05-09T01:53:00+00:00,0.01
185142,114,2025-05-09T01:54:00+00:00,0.01
185142,115,2025-05-09T01:55:00+00:00,0.01
185142,116,2025-05-09T01:56:00+00:00,0.01
185142,117,2025-05-09T01:57:00+00:00,0.0
185142,118,2025-05-09T01:58:00+00:00,0.0
185142,119,2025-05-09T01:59:00+00:00,0.0
185142,120,2025-05-09T02:00:00+00:00,0.0
185142,121,2025-05-09T02:01:00+00:00,0.0
185142,122,2025-05-09T02:02:00+00:00,0.0
185142,123,2025-05-09T02:03:00+00:00,0.0
185142,124,2025-05-09T02:04:00+00:00,0.0
185142,125,2025-05-09T02:05:00+00:00,0.0
185142,126,2025-05-09T02:06:00+00:00,0.0
185142,127,2025-05-09T02:07:00+00:00,0.01
185142,128,2025-05-09T02:08:00+00:00,0.01
185142,129,2025-05-09T02:09:00+00:00,0.0
185142,130,2025-05-09T02:10:00+00:00,0.0
185142,131,2025-05-09T02:11:00+00:00,0.01
185142,132,2025-05-09T02:12:00+00:00,0.01
185142,133,2025-05-09T02:13:00+00:00,0.02
185142,134,2025-05-09T02:14:00+00:00,0.02
185142,135,2025-05-09T02:15:00+00:00,0.02
185142,136,2025-05-09T02:16:00+00:00,0.01
185142,137,2025-05-09T02:17:00+00:00,0.0
185142,138,2025-05-09T02:18:00+00:00,0.0
185142,139,2025-05-09T02:19:00+00:00,0.0
185142,140,2025-05-09T02:20:00+00:00,0.0
185142,141,2025-05-09T02:21:00+00:00,0.0
185142,142,2025-05-09T02:22:00+00:00,0.0
185142,143,2025-05-09T02:23:00+00:00,0.0
185142,144,2025-05-09T02:24:00+00:00,0.0
185142,145,2025-05-09T02:25:00+00:00,0.0
185142,146,2025-05-09T02:26:00+00:00,0.0
185142,147,2025-05-09T02:27:00+00:00,0.0
185142,148,2025-05-09T02:28:00+00:00,0.01
185142,149,2025-05-09T02:29:00+00:00,0.02
185142,150,2025-05-09T02:30:00+00:00,0.02
185142,151,2025-05-09T02:31:00+00:00,0.03
185142,152,2025-05-09T02:32:00+00:00,0.07
185142,153,2025-05-09T02:33:00+00:00,0.01
185142,154,2025-05-09T02:34:00+00:00,0.01
185142,155,2025-05-09T02:35:00+00:00,0.01
185142,156,2025-05-09T02:36:00+00:00,0.04
185142,157,2025-05-09T02:37:00+00:00,0.03
185142,158,2025-05-09T02:38:00+00:00,0.01
185142,159,2025-05-09T02:39:00+00:00,0.0
185142,160,2025-05-09T02:40:00+00:00,0.0
185142,161,2025-05-09T02:41:00+00:00,0.0
185142,162,2025-05-09T02:42:00+00:00,0.0
185142,163,2025-05-09T02:43:00+00:00,0.0
185142,164,2025-05-09T02:44:00+00:00,0.0
185142,165,2025-05-09T02:45:00+00:00,0.0
185142,166,2025-05-09T02:46:00+00:00,0.0
185142,167,2025-05-09T02:47:00+00:00,0.0
185142,168,2025-05-09T02:48:00+00:00,0.0
185142,169,2025-05-09T02:49:00+00:00,0.0
185142,170,2025-05-09T02:50:00+00:00,0.0
185142,171,2025-05-09T02:51:00+00:00,0.0
185142,172,2025-05-09T02:52:00+00:00,0.0
185142,173,2025-05-09T02:53:00+00:00,0.0
185142,174,2025-05-09T02:54:00+00:00,0.01
185142,175,2025-05-09T02:55:00+00:00,0.0
185142,176,2025-05-09T02:56:00+00:00,0.0
185142,177,2025-05-09T02:57:00+00:00,0.0
185142,178,2025-05-09T02:58:00+00:00,0.0
185142,179,2025-05-09T02:59:00+00:00,0.0
185142,180,2025-05-09T03:00:00+00:00,0.0
185142,181,2025-05-09T03:01:00+00:00,0.0
185142,182,2025-05-09T03:02:00+00:00,0.0
185142,183,2025-05-09T03:03:00+00:00,0.0
185142,184,2025-05-09T03:04:00+00:00,0.0
185142,185,2025-05-09T03:05:00+00:00,0.0
185142,186,2025-05-09T03:06:00+00:00,0.0
185142,187,2025-05-09T03:07:00+00:00,0.0
185142,188,2025-05-09T03:08:00+00:00,0.0
185142,189,2025-05-09T03:09:00+00:00,0.0
185142,190,2025-05-09T03:10:00+00:00,0.0
185142,191,2025-05-09T03:11:00+00:00,0.0
185142,192,2025-05-09T03:12:00+00:00,0.0
