pixel_index,value_index,timestamp,value
135433,0,2025-05-09T00:00:00+00:00,0.03
135433,1,2025-05-09T00:01:00+00:00,0.02
135433,2,2025-05-09T00:02:00+00:00,0.01
135433,3,2025-05-09T00:03:00+00:00,0.01
135433,4,2025-05-09T00:04:00+00:00,0.01
135433,5,2025-05-09T00:05:00+00:00,0.04
135433,6,2025-05-09T00:06:00+00:00,0.04
135433,7,2025-05-09T00:07:00+00:00,0.03
135433,8,2025-05-09T00:08:00+00:00,0.01
135433,9,2025-05-09T00:09:00+00:00,0.01
135433,10,2025-05-09T00:10:00+00:00,0.01
135433,11,2025-05-09T00:11:00+00:00,0.01
135433,12,2025-05-09T00:12:00+00:00,0.01
135433,13,2025-05-09T00:13:00+00:00,0.03
135433,14,2025-05-09T00:14:00+00:00,0.049999997
135433,15,2025-05-09T00:15:00+00:00,0.04
135433,16,2025-05-09T00:16:00+00:00,0.04
135433,17,2025-05-09T00:17:00+00:00,0.04
135433,18,2025-05-09T00:18:00+00:00,0.03
135433,19,2025-05-09T00:19:00+00:00,0.03
135433,20,2025-05-09T00:20:00+00:00,0.03
135433,21,2025-05-09T00:21:00+00:00,0.01
135433,22,2025-05-09T00:22:00+00:00,0.01
135433,23,2025-05-09T00:23:00+00:00,0.02
135433,24,2025-05-09T00:24:00+00:00,0.01
135433,25,2025-05-09T00:25:00+00:00,0.01
135433,26,2025-05-09T00:26:00+00:00,0.0
135433,27,2025-05-09T00:27:00+00:00,0.0
135433,28,2025-05-09T00:28:00+00:00,0.0
135433,29,2025-05-09T00:29:00+00:00,0.0
135433,30,2025-05-09T00:30:00+00:00,0.01
135433,31,2025-05-09T00:31:00+00:00,0.01
135433,32,2025-05-09T00:32:00+00:00,0.0
135433,33,2025-05-09T00:33:00+00:00,0.0
135433,34,2025-05-09T00:34:00+00:00,0.01
135433,35,2025-05-09T00:35:00+00:00,0.0
135433,36,2025-05-09T00:36:00+00:00,0.0
135433,37,2025-05-09T00:37:00+00:00,0.01
135433,38,2025-05-09T00:38:00+00:00,0.01
135433,39,2025-05-09T00:39:00+00:00,0.02
135433,40,2025-05-09T00:40:00+00:00,0.01
135433,41,2025-05-09T00:41:00+00:00,0.01
135433,42,2025-05-09T00:42:00+00:00,0.0
135433,43,2025-05-09T00:43:00+00:00,0.0
135433,44,2025-05-09T00:44:00+00:00,0.01
135433,45,2025-05-09T00:45:00+00:00,0.02
135433,46,2025-05-09T00:46:00+00:00,0.02
135433,47,2025-05-09T00:47:00+00:00,0.03
135433,48,2025-05-09T00:48:00+00:00,0.02
135433,49,2025-05-09T00:49:00+00:00,0.01
135433,50,2025-05-09T00:50:00+00:00,0.01
135433,51,2025-05-09T00:51:00+00:00,0.04
135433,52,2025-05-09T00:52:00+00:00,0.049999997
135433,53,2025-05-09T00:53:00+00:00,0.02
135433,54,2025-05-09T00:54:00+00:00,0.02
135433,55,2025-05-09T00:55:00+00:00,0.01
135433,56,2025-05-09T00:56:00+00:00,0.01
135433,57,2025-05-09T00:57:00+00:00,0.01
135433,58,2025-05-09T00:58:00+00:00,0.0
135433,59,2025-05-09T00:59:00+00:00,0.0
135433,60,2025-05-09T01:00:00+00:00,0.0
135433,61,2025-05-09T01:01:00+00:00,0.01
135433,62,2025-05-09T01:02:00+00:00,0.02
135433,63,2025-05-09T01:03:00+00:00,0.02
135433,64,2025-05-09T01:04:00+00:00,0.01
135433,65,2025-05-09T01:05:00+00:00,0.03
135433,66,2025-05-09T01:06:00+00:00,0.049999997
135433,67,2025-05-09T01:07:00+00:00,0.049999997
135433,68,2025-05-09T01:08:00+00:00,0.03
135433,69,2025-05-09T01:09:00+00:00,0.08
135433,70,2025-05-09T01:10:00+00:00,0.13
